ID,Advocate Name,Location,Experience (Years),Specialization,Notable Cases Handled,Fee (INR)
333,Adv. Tarun Deshmukh,Siliguri,17,Media & Entertainment Law,Court-Martial Cases,32183
334,Adv. Manish Mehta,Surat,13,Land & Property Law,Income Tax Disputes,41089
335,Adv. Nidhi Soni,Ranchi,14,Insurance Law,Domestic Violence,39198
336,Adv. Deepa Mishra,Amritsar,11,Intellectual Property Law,Retirement Benefits,12026
337,Adv. Kunal Das,Asansol,13,Transportation Law,Counterfeit Cases,44514
338,Adv. Parth Khandelwal,Raipur,6,Medical Negligence Law,Government Scandals,39366
339,Adv. Chetan Kulkarni,Nagpur,5,Immigration Law,Breach of Contracts,18301
340,Adv. Ramesh Jain,Pune,7,Cyber Crime Law,Electoral Malpractices,14055
341,Adv. Anjali Iyer,Bareilly,18,Military Law,Narcotics,10063
342,Adv. Suraj Patel,Delhi,9,Civil Rights Law,Cybercrime,48401
343,Adv. Snehal Narang,Udaipur,18,Criminal Law,Contract Breaches,36523
344,Adv. Mohit Reddy,Nagpur,9,Immigration Law,Income Tax Disputes,19022
345,Adv. Rohan Deshmukh,Meerut,13,Election Law,Parental Rights,25075
346,Adv. Tarun Roy,Kolkata,7,Human Rights Law,Human Rights Violations,14434
347,Adv. Simran Dixit,Mumbai,12,Railway Law,Defective Products,20777
348,Adv. Megha Kapoor,Ahmedabad,18,International Law,Voting Rights,19222
349,Adv. Aditya Patel,Warangal,9,Intellectual Property Law,Road Accidents,12375
350,Adv. Tarun Dixit,Siliguri,15,Anti-Corruption Law,Illegal Possession,36278
351,Adv. Akash Chauhan,Asansol,9,Insurance Law,Train Accidents,26188
352,Adv. Parth Soni,Madurai,19,Banking Fraud Law,Slander Cases,20858
353,Adv. Aarav Joshi,Bangalore,19,Banking & Finance Law,Fraudulent Sales,24682
354,Adv. Mohit Mishra,Chandigarh,6,Military Law,Film Contracts,19144
355,Adv. Rashi Pandey,Vijayawada,20,Railway Law,Libel,43535
356,Adv. Swati Tiwari,Bareilly,16,Election Law,Loan Disputes,24421
357,Adv. Nidhi Gupta,Varanasi,10,Environmental Law,Malpractice,17204
358,Adv. Nidhi Sharma,Warangal,12,Anti-Corruption Law,Player Contracts,36623
359,Adv. Veena Chatterjee,Nagpur,12,Media & Entertainment Law,Corporate Frauds,7436
360,Adv. Rohan Bhatia,Bhavnagar,10,Adoption & Surrogacy Law,Juvenile Justice,36105
361,Adv. Raghav Joshi,Raipur,17,Business Law,Claim Disputes,29363
362,Adv. Ritu Nair,Guwahati,12,Telecommunication Law,Fundamental Rights,8890
363,Adv. Megha Chatterjee,Varanasi,11,Business Law,Libel,46179
364,Adv. Bhavna Sharma,Gwalior,15,Military Law,Counterfeit Cases,28744
365,Adv. Raghav Iyer,Chennai,5,Trademark & Patent Law,Corporate Frauds,40562
366,Adv. Divya Pandey,Noida,13,Civil Rights Law,Business Disputes,47091
367,Adv. Priya Agrawal,Siliguri,14,Banking Fraud Law,Divorce,32553
368,Adv. Snehal Choudhary,Bhavnagar,7,Public Interest Law,Income Tax Disputes,46358
369,Adv. Ajay Chopra,Bareilly,11,Animal Rights Law,Landlord-Tenant Issues,20726
370,Adv. Rohan Sharma,Noida,15,Cyber Crime Law,Bribery,44599
371,Adv. Divya Mehta,Kanpur,19,Consumer Protection Law,Loan Defaults,20599
372,Adv. Simran Kapoor,Amritsar,17,Real Estate Law,Online Fraud,33255
373,Adv. Chetan Sen,Noida,5,Human Rights Law,Government Accountability,19741
374,Adv. Priya Sen,Amritsar,16,Civil Litigation,Forged Cheques,5359
375,Adv. Sunita Reddy,Patna,19,International Law,Forged Cheques,27267
376,Adv. Bhavna Yadav,Amritsar,15,Family Law,Fraudulent Sales,48429
377,Adv. Ramesh Sen,Guwahati,12,Human Rights Law,Narcotics,37609
378,Adv. Aditya Verma,Surat,15,Constitutional Law,Hacking,19623
379,Adv. Arjun Narang,Surat,16,Media & Entertainment Law,LGBTQ+ Rights Cases,38848
380,Adv. Kiran Menon,Noida,19,Land & Property Law,Court-Martial Cases,14936
381,Adv. Alok Choudhary,Goa,17,Consumer Protection Law,Wrong Diagnosis,25904
382,Adv. Neha Saxena,Agra,16,Financial Law,Court-Martial Cases,22916
383,Adv. Ramesh Saxena,Goa,20,Media & Entertainment Law,Land Grabbing,35543
384,Adv. Tarun Khandelwal,Gwalior,10,Debt Recovery Law,Visa Fraud,19119
385,Adv. Anjali Pandey,Udaipur,20,Arbitration & Mediation,Poaching Cases,17463
386,Adv. Priya Sen,Goa,20,Aviation Law,Business Disputes,26544
387,Adv. Anjali Reddy,Ranchi,11,Aviation Law,GST Fraud,46629
388,Adv. Akash Kapoor,Bangalore,11,Business Law,Film Contracts,9530
389,Adv. Suraj Tiwari,Madurai,14,Human Rights Law,Cybercrime,40703
390,Adv. Swati Roy,Indore,11,Cyber Crime Law,Property Disputes,27670
391,Adv. Rahul Menon,Siliguri,16,Banking Fraud Law,Libel,21778
392,Adv. Swati Malhotra,Lucknow,5,White Collar Crimes,Passenger Rights,44360
393,Adv. Aarav Chatterjee,Siliguri,9,Sports Law,Tax Evasion,26807
394,Adv. Bhavna Narang,Vijayawada,11,Land & Property Law,RTI Cases,36858
395,Adv. Ramesh Chatterjee,Coimbatore,10,Cyber Law,Unlawful Termination,22391
396,Adv. Veena Dixit,Jaipur,10,Gender Rights Law,Malpractice,12323
397,Adv. Megha Narang,Gwalior,9,Land & Property Law,Fund Mismanagement,6354
398,Adv. Ishita Mishra,Surat,5,International Law,Patent Infringements,46004
399,Adv. Nitin Gupta,Ranchi,7,Banking & Finance Law,Air Accidents,16671
400,Adv. Rahul Rajput,Ranchi,8,Military Law,Fraudulent Insurance Claims,36799
401,Adv. Ritika Jain,Kolkata,6,Cyber Law,Divorce,49036
402,Adv. Rajeev Das,Nagpur,15,Civil Rights Law,Court-Martial Cases,25099
403,Adv. Kavita Dixit,Jodhpur,13,Railway Law,Mergers,12179
404,Adv. Sandeep Menon,Ahmedabad,17,Medical Negligence Law,Online Harassment,6571
405,Adv. Suraj Jain,Noida,14,Telecommunication Law,Custody Cases,23444
406,Adv. Veena Yadav,Pune,11,Narcotics Law,Poaching Cases,48531
407,Adv. Megha Tiwari,Coimbatore,5,White Collar Crimes,Asylum Cases,28422
408,Adv. Rohan Vyas,Vadodara,20,Civil Rights Law,Domestic Violence,39068
409,Adv. Devansh Jain,Solapur,8,Animal Rights Law,Privacy Issues,48223
410,Adv. Neha Mishra,Bareilly,15,Real Estate Law,Police Brutality,21806
411,Adv. Priya Saxena,Madurai,17,Transportation Law,ISP Disputes,8766
412,Adv. Sanjana Soni,Warangal,10,Adoption & Surrogacy Law,Liability Cases,26084
413,Adv. Kunal Das,Solapur,7,Telecommunication Law,Online Fraud,20385
414,Adv. Veena Sharma,Patna,5,Charity & NGO Law,Property Disputes,45545
415,Adv. Rashi Das,Bareilly,16,Public Interest Law,Illegal Construction,44450
416,Adv. Devansh Gupta,Gorakhpur,7,Juvenile Law,Sexual Harassment,28343
417,Adv. Sneha Kulkarni,Amritsar,20,Criminal Law,Domestic Violence,30989
418,Adv. Kiran Kaur,Thiruvananthapuram,7,Real Estate Law,ISP Disputes,34539
419,Adv. Priya Sharma,Bhopal,12,International Law,Court-Martial Cases,17585
420,Adv. Mohit Soni,Ranchi,5,Transportation Law,Contract Breaches,10081
421,Adv. Nitin Khanna,Surat,15,Juvenile Law,NGO Registration,35735
422,Adv. Ajay Malhotra,Mysore,8,Transportation Law,Eviction Cases,45638
423,Adv. Manish Kulkarni,Varanasi,11,Taxation Law,Discrimination Cases,17434
424,Adv. Yogesh Rajput,Gwalior,20,Land & Property Law,Libel,41841
425,Adv. Neha Kulkarni,Allahabad,18,Banking Fraud Law,Loan Defaults,16280
426,Adv. Dheeraj Kulkarni,Vijayawada,15,Constitutional Law,Drug Trafficking,43713
427,Adv. Nidhi Verma,Nagpur,6,Transportation Law,Defamation,39324
428,Adv. Kunal Tiwari,Indore,7,Railway Law,Film Contracts,15096
429,Adv. Mohit Nair,Gorakhpur,8,White Collar Crimes,Trademark Infringement,44606
430,Adv. Veena Kaur,Nashik,8,Family Law,Landlord-Tenant Issues,30007
431,Adv. Om Prakash Sinha,Amritsar,6,Intellectual Property Law,Road Accidents,44242
432,Adv. Veena Nair,Noida,16,Cyber Crime Law,Loan Disputes,38657
433,Adv. Rashi Mishra,Noida,17,Sports Law,Rent Disputes,14158
434,Adv. Ritika Chatterjee,Guwahati,20,Corporate Law,Pollution Violations,18861
435,Adv. Rahul Malhotra,Vadodara,5,Telecommunication Law,PILs,47324
436,Adv. Yogesh Pandey,Amritsar,14,White Collar Crimes,Police Brutality,12232
437,Adv. Raghav Patel,Delhi,15,Environmental Law,Workplace Harassment,32540
438,Adv. Mohit Rajput,Chennai,7,Telecommunication Law,Defective Products,18091
439,Adv. Rohan Arora,Lucknow,15,Taxation Law,Extradition,8163
440,Adv. Priya Vyas,Hubli,14,Civil Rights Law,Defective Products,45359
441,Adv. Pooja Iyer,Bangalore,5,Charity & NGO Law,Illegal Possession,38468
442,Adv. Raghav Pillai,Siliguri,14,Taxation Law,Unlawful Detention,45378
443,Adv. Anjali Khanna,Raipur,13,Gender Rights Law,Loan Defaults,19416
444,Adv. Sunita Verma,Solapur,11,Employment & Labor Law,Dispute Settlements,23763
445,Adv. Anjali Sharma,Pune,16,Telecommunication Law,Child Custody,28636
446,Adv. Ishita Kapoor,Ranchi,8,Elder Law,Smuggling Cases,10852
447,Adv. Veena Malhotra,Udaipur,12,Sports Law,Alimony Cases,19141
448,Adv. Arjun Kaur,Bangalore,12,Debt Recovery Law,Hacking,44577
449,Adv. Nitin Roy,Surat,9,Civil Rights Law,Land Acquisition,17978
450,Adv. Nitin Iyer,Surat,19,Railway Law,Animal Cruelty,49019
451,Adv. Tarun Nair,Kolkata,12,Consumer Protection Law,Train Accidents,33618
452,Adv. Pooja Kaur,Madurai,9,Charity & NGO Law,Slander Cases,20158
453,Adv. Nidhi Menon,Kolkata,9,Media & Entertainment Law,Illegal Possession,18022
454,Adv. Aarav Chopra,Madurai,15,Defamation Law,Parental Rights,24828
455,Adv. Mohit Menon,Kolkata,17,Public Interest Law,Liability Cases,41189
456,Adv. Sunita Iyer,Kanpur,6,Civil Rights Law,Defective Products,7558
457,Adv. Kunal Rana,Bangalore,16,Environmental Law,Film Contracts,25433
458,Adv. Deepa Arora,Jaipur,7,Family Law,Film Contracts,17900
459,Adv. Om Prakash Patel,Thiruvananthapuram,12,Civil Litigation,Divorce,40197
460,Adv. Ramesh Jain,Pune,13,Civil Litigation,Parental Rights,32070
461,Adv. Raghav Reddy,Ahmedabad,20,Military Law,Privacy Issues,49449
462,Adv. Dheeraj Bhasin,Thiruvananthapuram,5,Real Estate Law,Passenger Rights,26321
463,Adv. Megha Pillai,Hubli,11,Taxation Law,Breach of Contracts,47106
464,Adv. Veena Tiwari,Noida,15,Cyber Law,Police Brutality,14212
465,Adv. Priya Pandey,Kanpur,7,International Law,Voting Rights,30361
466,Adv. Neha Chatterjee,Bhopal,6,Narcotics Law,Sexual Harassment,21849
467,Adv. Rashi Saxena,Warangal,14,Civil Rights Law,Financial Frauds,5459
468,Adv. Megha Mishra,Amritsar,10,Anti-Corruption Law,Cybercrime,23003
469,Adv. Om Prakash Roy,Gorakhpur,8,Anti-Corruption Law,Forged Cheques,43995
470,Adv. Dheeraj Vyas,Varanasi,8,Cyber Crime Law,Debt Negotiations,18053
471,Adv. Devansh Tiwari,Asansol,6,Land & Property Law,Hacking,19448
472,Adv. Nidhi Verma,Jaipur,6,Telecommunication Law,Defective Products,43012
473,Adv. Deepa Saxena,Bhavnagar,17,Election Law,Property Disputes,7770
474,Adv. Rohan Khandelwal,Shimla,14,Intellectual Property Law,Libel,24427
475,Adv. Pooja Iyer,Vijayawada,20,Corporate Law,Domestic Violence,21576
476,Adv. Nidhi Kaur,Solapur,10,Civil Litigation,Wrong Diagnosis,40820
477,Adv. Manish Mishra,Hubli,7,Insurance Law,Child Crime Cases,35418
478,Adv. Kiran Patel,Bareilly,10,Financial Law,Service Disputes,10866
479,Adv. Parth Patel,Agra,15,Insurance Law,Copyright Disputes,26204
480,Adv. Sneha Chopra,Udaipur,12,Financial Law,Doping Cases,46970
481,Adv. Rashi Menon,Delhi,8,Criminal Law,Online Fraud,14554
482,Adv. Sandeep Reddy,Goa,13,Insurance Law,Fund Mismanagement,36516
483,Adv. Bhavna Sharma,Vijayawada,20,Financial Law,Online Fraud,16192
484,Adv. Vikram Kaur,Meerut,19,Gender Rights Law,Parental Rights,16779
485,Adv. Om Prakash Chopra,Solapur,6,Employment & Labor Law,Income Tax Disputes,28549
486,Adv. Chetan Saxena,Delhi,14,Anti-Corruption Law,Illegal Construction,34926
487,Adv. Divya Bhasin,Kolkata,15,Charity & NGO Law,Copyright Disputes,18527
488,Adv. Ishita Tiwari,Indore,13,Sports Law,Debt Negotiations,32455
489,Adv. Aarav Pandey,Siliguri,7,Charity & NGO Law,Human Rights Violations,23118
490,Adv. Rajeev Chatterjee,Hubli,17,Intellectual Property Law,Online Harassment,20996
491,Adv. Simran Rana,Meerut,11,Adoption & Surrogacy Law,Smuggling Cases,25564
492,Adv. Ritika Arora,Amritsar,15,Anti-Corruption Law,Asylum Cases,26080
493,Adv. Snehal Gupta,Kanpur,19,Defamation Law,Illegal Construction,28989
494,Adv. Aditya Kapoor,Hubli,16,Constitutional Law,Player Contracts,16770
495,Adv. Dheeraj Menon,Thiruvananthapuram,18,Civil Litigation,Child Custody,20555
496,Adv. Suraj Mishra,Noida,17,Banking & Finance Law,Road Accidents,49251
497,Adv. Chetan Mehta,Vijayawada,16,Financial Law,Mergers,14347
498,Adv. Rahul Dixit,Kolkata,11,Intellectual Property Law,Homicide,24376
499,Adv. Alok Sharma,Amritsar,14,Gender Rights Law,Court-Martial Cases,30941
500,Adv. Divya Chopra,Lucknow,18,Banking Fraud Law,Pollution Violations,23273
501,Adv. Kiran Menon,Ranchi,11,Gender Rights Law,Child Crime Cases,45561
502,Adv. Deepa Iyer,Hubli,10,Debt Recovery Law,Bank Fraud,5756
503,Adv. Megha Rajput,Indore,6,Juvenile Law,Extradition,6806
504,Adv. Ashwin Malhotra,Kolkata,7,Aviation Law,Asylum Cases,5653
505,Adv. Ishita Rajput,Kolkata,19,Human Rights Law,Player Contracts,9288
506,Adv. Neha Deshmukh,Allahabad,19,Constitutional Law,Loan Defaults,33860
507,Adv. Suraj Yadav,Gwalior,13,Banking Fraud Law,Asylum Cases,17064
508,Adv. Pooja Khanna,Varanasi,19,Debt Recovery Law,Fraudulent Insurance Claims,5858
509,Adv. Yogesh Arora,Thiruvananthapuram,20,Criminal Law,Claim Disputes,7146
510,Adv. Neha Sen,Raipur,6,Aviation Law,Asylum Cases,40561
511,Adv. Rohan Tiwari,Mumbai,5,Banking & Finance Law,Counterfeit Cases,12042
512,Adv. Aditya Kulkarni,Kanpur,13,International Law,Malpractice,46447
513,Adv. Rajeev Patel,Varanasi,16,Consumer Protection Law,Debt Negotiations,28790
514,Adv. Chetan Yadav,Allahabad,15,Banking Fraud Law,Fraudulent Sales,19447
515,Adv. Swati Pandey,Bhavnagar,15,Family Law,ISP Disputes,12236
516,Adv. Deepa Sen,Udaipur,12,Media & Entertainment Law,Workplace Harassment,45807
517,Adv. Arjun Joshi,Delhi,7,Taxation Law,Unlawful Termination,39220
518,Adv. Sandeep Roy,Coimbatore,12,White Collar Crimes,Unlawful Termination,14724
519,Adv. Suraj Gupta,Ahmedabad,12,Juvenile Law,Online Harassment,34833
520,Adv. Sunita Kapoor,Vadodara,18,Anti-Corruption Law,Illegal Possession,37776
521,Adv. Sneha Verma,Madurai,10,Aviation Law,Poaching Cases,33309
522,Adv. Priya Joshi,Agra,20,Banking & Finance Law,Juvenile Justice,9477
523,Adv. Devansh Sharma,Vadodara,20,Medical Negligence Law,Business Disputes,20003
524,Adv. Kiran Das,Solapur,18,Transportation Law,Sexual Harassment,36366
525,Adv. Parth Kulkarni,Kanpur,17,Insurance Law,Money Laundering Cases,20759
526,Adv. Sunita Malhotra,Mumbai,11,Taxation Law,Pollution Violations,18805
527,Adv. Aarav Pillai,Patna,11,Elder Law,Government Scandals,19010
528,Adv. Kunal Pandey,Bhavnagar,16,Juvenile Law,Libel,12387
529,Adv. Tanvi Saxena,Coimbatore,7,Insurance Law,Discrimination Cases,29765
530,Adv. Nidhi Tiwari,Mysore,9,Animal Rights Law,Asylum Cases,11010
531,Adv. Rahul Sharma,Gorakhpur,20,Real Estate Law,Rent Disputes,48855
532,Adv. Chetan Menon,Chandigarh,10,Family Law,Foreign Trade Disputes,46341
533,Adv. Om Prakash Mehta,Bhavnagar,7,Consumer Protection Law,Insider Trading,41692
534,Adv. Aditya Saxena,Madurai,12,Insurance Law,Loan Defaults,14369
535,Adv. Aarav Nair,Shimla,13,Civil Rights Law,Property Disputes,29522
536,Adv. Rajeev Khandelwal,Meerut,7,Arbitration & Mediation,Cybercrime,30934
537,Adv. Tarun Reddy,Warangal,18,Narcotics Law,Smuggling Cases,29981
538,Adv. Bhavna Rajput,Siliguri,20,Financial Law,Corporate Frauds,43126
539,Adv. Alok Chatterjee,Ahmedabad,6,Financial Law,Alimony Cases,32836
540,Adv. Megha Nair,Lucknow,14,Human Rights Law,GST Fraud,23035
541,Adv. Ashwin Agrawal,Surat,15,Arbitration & Mediation,Custody Cases,13599
542,Adv. Pooja Jain,Patna,6,Environmental Law,Film Contracts,18038
543,Adv. Varun Malik,Warangal,6,Intellectual Property Law,Alimony Cases,30066
544,Adv. Ramesh Bhasin,Guwahati,13,Aviation Law,Domestic Violence,22852
545,Adv. Varun Khanna,Gorakhpur,13,Elder Law,Deforestation Cases,44250
546,Adv. Rashi Gupta,Agra,7,Banking Fraud Law,Defective Products,39581
547,Adv. Rashi Sharma,Bhavnagar,12,Animal Rights Law,Money Laundering Cases,45514
548,Adv. Tanvi Nair,Hubli,5,Criminal Law,Court-Martial Cases,42219
549,Adv. Aarav Saxena,Kolkata,8,Defamation Law,Land Acquisition,27852
550,Adv. Arjun Reddy,Bhopal,9,Railway Law,NGO Registration,25467
551,Adv. Swati Sinha,Bangalore,20,Elder Law,Defamation,41559
552,Adv. Bhavna Narang,Hyderabad,5,International Law,Tax Evasion,20398
553,Adv. Megha Choudhary,Solapur,15,Insurance Law,Loan Disputes,38082
554,Adv. Mohit Jain,Goa,18,Insurance Law,Landlord-Tenant Issues,49404
555,Adv. Megha Deshmukh,Pune,17,Financial Law,Dispute Settlements,16119
556,Adv. Swati Verma,Chandigarh,13,Trademark & Patent Law,Parental Rights,30719
557,Adv. Manish Gupta,Kanpur,10,Banking & Finance Law,Child Custody,27877
558,Adv. Rahul Chauhan,Nashik,15,Military Law,Fund Mismanagement,34055
559,Adv. Aarav Rana,Chandigarh,6,Election Law,Air Accidents,18636
560,Adv. Kavita Deshmukh,Gorakhpur,17,Adoption & Surrogacy Law,Train Accidents,26266
561,Adv. Ajay Rajput,Bhavnagar,13,White Collar Crimes,Fraudulent Insurance Claims,47682
562,Adv. Divya Kulkarni,Gwalior,18,Banking Fraud Law,Online Fraud,15560
563,Adv. Mohit Roy,Thiruvananthapuram,10,Railway Law,Police Brutality,27954
564,Adv. Sunita Bhasin,Nashik,5,Banking & Finance Law,Pollution Violations,24324
565,Adv. Vikram Vyas,Bangalore,19,Arbitration & Mediation,Counterfeit Cases,28567
566,Adv. Suraj Khanna,Chandigarh,12,Trademark & Patent Law,Corporate Lawsuits,29787
567,Adv. Manish Dixit,Amritsar,16,Immigration Law,Landlord-Tenant Issues,30203
568,Adv. Kavita Iyer,Agra,11,Criminal Law,Online Fraud,11599
569,Adv. Ishita Chauhan,Coimbatore,13,Gender Rights Law,Tax Evasion,14486
570,Adv. Vikram Kapoor,Varanasi,8,Civil Rights Law,Unlawful Detention,47285
571,Adv. Anjali Kapoor,Warangal,14,Gender Rights Law,Juvenile Justice,34002
572,Adv. Aarav Khandelwal,Gorakhpur,12,International Law,Loan Disputes,36405
573,Adv. Mohit Gupta,Nashik,7,Constitutional Law,Illegal Possession,28133
574,Adv. Akash Khanna,Ranchi,8,White Collar Crimes,Domestic Violence,24458
575,Adv. Aarav Mishra,Shimla,8,Taxation Law,Electoral Malpractices,29244
576,Adv. Ritika Choudhary,Bhopal,16,Financial Law,Passenger Rights,49131
577,Adv. Arjun Kapoor,Kanpur,12,Defamation Law,Tax Evasion,12206
578,Adv. Dheeraj Sinha,Bhavnagar,19,Constitutional Law,Claim Disputes,37867
579,Adv. Varun Khanna,Shimla,8,International Law,Narcotics,15157
580,Adv. Rashi Das,Solapur,19,Civil Litigation,Land Grabbing,28450
581,Adv. Aarav Agrawal,Bangalore,20,Charity & NGO Law,Unlawful Termination,30004
582,Adv. Rohan Rana,Ahmedabad,16,Intellectual Property Law,Defamation,40640
583,Adv. Kiran Jain,Gwalior,9,International Law,Claim Disputes,41154
584,Adv. Devansh Jain,Patna,6,Corporate Law,Property Disputes,7776
585,Adv. Ritu Saxena,Thiruvananthapuram,11,Civil Rights Law,Foreign Trade Disputes,8762
586,Adv. Priya Rana,Vadodara,7,Telecommunication Law,Defamation,35774
587,Adv. Suraj Kaur,Siliguri,15,Civil Rights Law,Visa Fraud,28221
588,Adv. Veena Menon,Agra,15,Human Rights Law,Business Disputes,15343
589,Adv. Aarav Patel,Ranchi,19,Gender Rights Law,Film Contracts,46129
590,Adv. Tarun Kapoor,Ranchi,18,Civil Litigation,Mergers,21811
591,Adv. Alok Mishra,Allahabad,19,Intellectual Property Law,Electoral Malpractices,8155
592,Adv. Yogesh Reddy,Bhavnagar,13,Gender Rights Law,Road Accidents,43430
593,Adv. Aarav Verma,Mumbai,19,White Collar Crimes,Bribery,10354
594,Adv. Kunal Bhatia,Coimbatore,11,Insurance Law,Property Disputes,6168
595,Adv. Bhavna Reddy,Warangal,10,Environmental Law,Homicide,11251
596,Adv. Om Prakash Rajput,Guwahati,12,Financial Law,Human Rights Violations,31763
597,Adv. Ajay Kapoor,Meerut,15,Family Law,Poaching Cases,22301
598,Adv. Nitin Deshmukh,Kanpur,7,Telecommunication Law,Data Breach,20439
599,Adv. Pooja Patel,Madurai,14,Juvenile Law,Child Custody,37026
600,Adv. Ritika Pillai,Solapur,6,Business Law,Claim Disputes,49889
601,Adv. Kiran Arora,Thiruvananthapuram,9,Criminal Law,Property Disputes,35279
602,Adv. Dheeraj Gupta,Raipur,7,Banking Fraud Law,GST Fraud,27329
603,Adv. Chetan Kaur,Mumbai,17,Sports Law,Mergers,34672
604,Adv. Aditya Kapoor,Mysore,12,Criminal Law,Counterfeit Cases,45214
605,Adv. Raghav Sharma,Varanasi,15,Medical Negligence Law,Sexual Harassment,21324
606,Adv. Arjun Nair,Gwalior,19,Election Law,Breach of Contracts,49037
607,Adv. Devansh Deshmukh,Goa,20,Taxation Law,PILs,38520
608,Adv. Ajay Patel,Raipur,10,Trademark & Patent Law,Cybercrime,45727
609,Adv. Deepa Deshmukh,Varanasi,18,Immigration Law,Fraudulent Insurance Claims,7124
610,Adv. Aditya Chopra,Bangalore,15,Railway Law,Domestic Violence,44335
611,Adv. Kavita Joshi,Nagpur,13,Immigration Law,Online Fraud,22489
612,Adv. Aditya Deshmukh,Bhavnagar,20,Narcotics Law,Pollution Violations,6082
613,Adv. Kiran Mishra,Bangalore,14,Cyber Law,Counterfeit Cases,45446
614,Adv. Pooja Gupta,Ranchi,6,Banking & Finance Law,Libel,12762
615,Adv. Kunal Malik,Mumbai,19,Arbitration & Mediation,Service Disputes,34897
616,Adv. Rashi Pandey,Surat,6,Constitutional Law,Narcotics,32490
617,Adv. Ashwin Rana,Raipur,20,Cyber Law,Contract Breaches,37172
618,Adv. Kunal Vyas,Gwalior,11,Defamation Law,Government Scandals,24563
619,Adv. Varun Khandelwal,Gwalior,20,Land & Property Law,Smuggling Cases,24629
620,Adv. Chetan Kaur,Jodhpur,20,Railway Law,NGO Registration,23790
621,Adv. Pooja Gupta,Mumbai,5,Medical Negligence Law,Land Acquisition,36509
622,Adv. Nidhi Menon,Mumbai,7,Military Law,Bank Fraud,7129
623,Adv. Vikram Mishra,Varanasi,9,Election Law,Insider Trading,21729
624,Adv. Devansh Khandelwal,Solapur,20,White Collar Crimes,Financial Frauds,33409
